Ticker,Mean,Std,Skew,Kurt,Min,Max,Sharpe,Ann.Ret,Ann.Vol
AAPL,0.000776,0.016204,-0.249779,4.494899,-0.131885,0.085023,0.759858,0.195461,0.257234
ABT,0.000547,0.011698,-0.611106,5.766619,-0.097512,0.062943,0.742108,0.137814,0.185706
ACN,0.000612,0.013676,-0.531534,7.244922,-0.109609,0.076863,0.710679,0.154284,0.217094
ADBE,0.000786,0.017985,-0.441477,13.738213,-0.211148,0.12027,0.694133,0.198178,0.285504
AIG,0.000247,0.019704,0.05119,8.858246,-0.174846,0.151306,0.198926,0.062223,0.312792
ALL,0.000518,0.01267,-0.364532,6.427574,-0.106995,0.081565,0.64942,0.130615,0.201126
AMGN,0.000607,0.014684,0.039102,3.857566,-0.100756,0.099849,0.656652,0.15307,0.233107
AMZN,0.001059,0.019936,0.145214,7.289959,-0.135325,0.146225,0.843626,0.266989,0.316478
AXP,0.00043,0.014708,-0.545111,6.493185,-0.12898,0.08644,0.464477,0.108444,0.233475
BA,0.000848,0.015309,-0.208051,3.473857,-0.093531,0.094214,0.879138,0.213647,0.243018
BAC,0.000218,0.021095,-0.478296,9.692472,-0.227129,0.154808,0.164268,0.055008,0.334869
BIIB,0.000754,0.020258,-0.263049,17.026268,-0.249491,0.179272,0.590744,0.189976,0.321588
BK,0.00029,0.015605,-0.319264,3.452025,-0.102488,0.073554,0.294781,0.073021,0.247714
BKNG,0.000895,0.019561,-0.112318,13.612465,-0.189727,0.198434,0.726706,0.225657,0.31052
BLK,0.000317,0.016237,-0.265306,3.677014,-0.106544,0.091256,0.31023,0.079961,0.257748
BMY,0.000437,0.014447,-1.326881,15.774768,-0.174176,0.085256,0.480314,0.110154,0.229338
C,0.000193,0.01998,-0.438341,6.134037,-0.179335,0.129677,0.153324,0.048631,0.317179
CAT,0.000441,0.017152,-0.222922,2.697557,-0.09674,0.07795,0.408361,0.111188,0.27228
CHTR,0.000928,0.017285,0.06849,4.980535,-0.124189,0.111777,0.851975,0.233768,0.274384
CL,0.000251,0.010303,-0.37896,4.872105,-0.070902,0.058309,0.386362,0.063192,0.163556
CMCSA,0.000695,0.014086,-0.263169,2.260159,-0.076638,0.061344,0.783794,0.175259,0.223603
COF,0.000323,0.017335,-0.524106,6.575728,-0.140654,0.082082,0.296193,0.081505,0.275177
COP,0.00033,0.017007,-0.11717,3.232131,-0.096639,0.092573,0.307642,0.083056,0.269977
COST,0.00065,0.011437,-0.545709,6.51354,-0.089781,0.060996,0.902794,0.163902,0.18155
CSCO,0.000343,0.015961,-0.875606,19.925316,-0.176865,0.147992,0.340792,0.08635,0.253381
CVS,0.000372,0.013527,-0.705367,6.837483,-0.125835,0.084912,0.436129,0.093655,0.214742
