Ticker,Mean_AnnVol,Max_AnnVol,Std_AnnVol
AAPL,0.2395,0.5988,0.0893
ABT,0.1731,0.445,0.0656
ACN,0.1999,0.641,0.0852
ADBE,0.2596,0.9045,0.1193
AIG,0.2694,0.9777,0.1601
ALL,0.1824,0.607,0.0862
AMGN,0.2206,0.4826,0.0777
AMZN,0.2913,0.6608,0.1226
AXP,0.213,0.6277,0.094
BA,0.2249,0.6262,0.0897
BAC,0.2948,1.4107,0.1584
BIIB,0.2971,0.9681,0.1258
BK,0.2282,0.6839,0.0965
BKNG,0.2816,0.8089,0.1309
BLK,0.2373,0.7534,0.1029
BMY,0.2111,0.6644,0.0885
C,0.2825,1.0928,0.1454
CAT,0.2516,0.6674,0.0998
CHTR,0.259,0.7068,0.0939
CL,0.1546,0.4187,0.0557
CMCSA,0.2119,0.494,0.0741
COF,0.2526,0.7607,0.1083
COP,0.2455,0.8492,0.1114
COST,0.1703,0.4937,0.0593
CSCO,0.2259,0.6872,0.1144
CVS,0.1995,0.5336,0.0784
CVX,0.1961,0.5122,0.084
DHR,0.1967,1.6991,0.1596
DIS,0.1929,0.5602,0.0809
DUK,0.1421,0.3398,0.0472
EMR,0.216,0.6656,0.0846
EXC,0.1838,0.4319,0.0588
F,0.2561,0.714,0.1021
FDX,0.2256,0.6034,0.0857
GD,0.1921,0.5279,0.0703
GE,0.216,0.6472,0.1023
GILD,0.2702,0.7261,0.1035
GOOG,0.2239,0.6019,0.0947
GOOGL,0.2237,0.6019,0.0932
GS,0.2428,0.6636,0.1025
HAL,0.3154,0.9062,0.1303
HD,0.1855,0.561,0.0725
HON,0.1876,0.6691,0.088
IBM,0.1812,0.4428,0.0726
INTC,0.2277,0.5197,0.082
JNJ,0.1359,0.4556,0.0549
JPM,0.2337,0.6857,0.1075
KMB,0.1501,0.4068,0.0526
KO,0.1379,0.3548,0.0477
LLY,0.1844,0.5066,0.0757
LMT,0.1672,0.4263,0.0578
LOW,0.2303,0.512,0.0784
MA,0.2317,0.8986,0.1132
MCD,0.1475,0.3301,0.0551
MDT,0.1903,0.5014,0.0708
MET,0.2711,0.7563,0.1161
MMM,0.1701,0.4895,0.077
MO,0.1581,0.4006,0.0581
MRK,0.1806,0.4327,0.0676
MS,0.3026,1.0476,0.1552
MSFT,0.2143,0.4777,0.0839
NEE,0.1555,0.3905,0.0507
NFLX,0.4731,1.6696,0.2421
NKE,0.2218,0.5722,0.0882
NVDA,0.3642,1.1172,0.1694
ORCL,0.2187,0.6482,0.0944
OXY,0.2416,0.6507,0.0971
PEP,0.1353,0.3217,0.0444
PFE,0.1691,0.4854,0.0674
PG,0.1368,0.3665,0.0491
PM,0.1726,0.6436,0.0683
QCOM,0.2472,0.7516,0.1134
SBUX,0.2225,0.6946,0.0959
SLB,0.2533,0.6674,0.0973
SO,0.1364,0.2716,0.0409
SPG,0.1962,0.647,0.0833
T,0.1567,0.3863,0.0546
TGT,0.2095,0.6088,0.0828
TXN,0.2278,0.5041,0.0839
UNH,0.213,0.5854,0.0756
UNP,0.2199,0.502,0.0778
UPS,0.1657,0.4582,0.071
USB,0.1928,0.7306,0.0942
V,0.2199,0.5878,0.0969
VZ,0.1603,0.3656,0.0481
WFC,0.2223,0.7104,0.1044
WMT,0.1604,0.4674,0.0703
XOM,0.1715,0.5043,0.0712
