,count,mean,std,min,25%,50%,75%,max,skew,kurt
ADOSC_3_10_minmax,179784.0,0.500107,0.366989,0.0,0.137843,0.501798,0.861398,1.0,-0.003067,-1.474833
ADX_14_minmax,179784.0,0.462868,0.428449,0.0,0.0,0.383117,0.996444,1.0,0.151525,-1.737842
ATR_14_minmax,179784.0,0.459257,0.385714,0.0,0.030061,0.432016,0.851351,1.0,0.125337,-1.570485
BBANDS_lowerband_distance_close,179784.0,0.047916,0.041695,-0.225415,0.019705,0.039582,0.066853,0.655556,2.005872,11.165022
BBANDS_middleband_distance_close,179784.0,0.004172,0.035026,-0.573357,-0.012926,0.006671,0.024255,0.390912,-0.943872,8.534462
BBANDS_upperband_distance_close,179784.0,-0.039571,0.048121,-1.231027,-0.051597,-0.026204,-0.011603,0.204243,-3.817815,33.8855
CCI_14_minmax,179784.0,0.502586,0.342684,0.0,0.19549,0.508467,0.80852,1.0,-0.026173,-1.315162
EMA_10_distance_close,179784.0,0.001951,0.020422,-0.405243,-0.007671,0.003292,0.01325,0.32323,-0.933248,11.060439
EMA_200_distance_close,179784.0,0.045491,0.092204,-1.720485,0.003315,0.054974,0.098678,0.493692,-2.132012,19.918005
EMA_50_distance_close,179784.0,0.011339,0.047972,-0.99588,-0.012045,0.01571,0.039642,0.438895,-1.537427,14.54073
MACD_macd,179784.0,0.2148,1.187816,-22.444584,-0.159637,0.151888,0.547742,19.041827,0.331529,40.27777
MACD_macdhist,179784.0,-0.002257,0.367916,-10.709976,-0.102503,0.001491,0.106667,6.170425,-1.20766,56.06008
MACD_macdsignal,179784.0,0.217057,1.111072,-19.699235,-0.140285,0.151806,0.527385,16.291037,0.420977,37.943395
OBV__minmax,179784.0,0.54977,0.356196,0.0,0.222756,0.589374,0.885919,1.0,-0.199205,-1.378329
RSI_14_minmax,179784.0,0.51942,0.360984,0.0,0.17873,0.531747,0.8723,1.0,-0.074689,-1.429839
SAR__distance_close,179784.0,0.004814,0.049639,-0.673122,-0.02922,0.013923,0.037789,0.427813,-0.476582,3.165495
STOCH_slowd_minmax,179784.0,0.51033,0.401314,0.0,0.058412,0.533054,0.949175,1.0,-0.053558,-1.651286
STOCH_slowk_minmax,179784.0,0.513211,0.38781,0.0,0.096431,0.536608,0.921051,1.0,-0.069211,-1.593912
volume_lr,179784.0,-0.000147,0.359784,-5.97708,-0.217431,-0.011493,0.204284,3.5457,0.221672,3.006362
weekday_cos,179784.0,-0.016549,0.701233,-0.809017,-0.809017,0.309017,0.309017,1.0,0.023215,-1.491895
weekday_sin,179784.0,0.005738,0.712721,-0.951057,-0.587785,0.0,0.587785,0.951057,-0.012927,-1.523679
