feature,pearson_r
weekday_sin,-0.04101927827320676
BBANDS_lowerband_distance_close,-0.023563927044529486
ATR_14_minmax,-0.019742394996334223
volume_lr,-0.018798949388990738
MACD_macdsignal,-0.01328608102752322
MACD_macd,-0.01163138462970459
EMA_10_distance_close,-0.00809841718672011
EMA_200_distance_close,-0.005719330936861872
BBANDS_middleband_distance_close,-0.005591796858602985
EMA_50_distance_close,-0.0037366415288992132
CCI_14_minmax,-0.003652691333485749
MACD_macdhist,0.0016063516285000994
OBV__minmax,0.003143092683275885
SAR__distance_close,0.005156397167137721
RSI_14_minmax,0.006344898370139051
ADX_14_minmax,0.006542504677496848
ADOSC_3_10_minmax,0.008202449199755994
BBANDS_upperband_distance_close,0.012561167722720472
STOCH_slowk_minmax,0.01677576481841818
STOCH_slowd_minmax,0.01811994343997992
weekday_cos,0.07401979577927217
