split,window_idx,date
train,0,2011-01-12
train,1,2011-01-13
train,2,2011-01-14
train,3,2011-01-18
train,4,2011-01-19
train,5,2011-01-20
train,6,2011-01-21
train,7,2011-01-24
train,8,2011-01-25
train,9,2011-01-26
train,10,2011-01-27
train,11,2011-01-28
train,12,2011-01-31
train,13,2011-02-01
train,14,2011-02-02
train,15,2011-02-03
train,16,2011-02-04
train,17,2011-02-07
train,18,2011-02-08
train,19,2011-02-09
train,20,2011-02-10
train,21,2011-02-11
train,22,2011-02-14
train,23,2011-02-15
train,24,2011-02-16
train,25,2011-02-17
train,26,2011-02-18
train,27,2011-02-22
train,28,2011-02-23
train,29,2011-02-24
train,30,2011-02-25
train,31,2011-02-28
train,32,2011-03-01
train,33,2011-03-02
train,34,2011-03-03
train,35,2011-03-04
train,36,2011-03-07
train,37,2011-03-08
train,38,2011-03-09
train,39,2011-03-10
train,40,2011-03-11
train,41,2011-03-14
train,42,2011-03-15
train,43,2011-03-16
train,44,2011-03-17
train,45,2011-03-18
train,46,2011-03-21
train,47,2011-03-22
train,48,2011-03-23
train,49,2011-03-24
train,50,2011-03-25
train,51,2011-03-28
train,52,2011-03-29
train,53,2011-03-30
train,54,2011-03-31
train,55,2011-04-01
train,56,2011-04-04
train,57,2011-04-05
train,58,2011-04-06
train,59,2011-04-07
train,60,2011-04-08
train,61,2011-04-11
train,62,2011-04-12
train,63,2011-04-13
train,64,2011-04-14
train,65,2011-04-15
train,66,2011-04-18
train,67,2011-04-19
train,68,2011-04-20
train,69,2011-04-21
train,70,2011-04-25
train,71,2011-04-26
train,72,2011-04-27
train,73,2011-04-28
train,74,2011-04-29
train,75,2011-05-02
train,76,2011-05-03
train,77,2011-05-04
train,78,2011-05-05
train,79,2011-05-06
train,80,2011-05-09
train,81,2011-05-10
train,82,2011-05-11
train,83,2011-05-12
train,84,2011-05-13
train,85,2011-05-16
train,86,2011-05-17
train,87,2011-05-18
train,88,2011-05-19
train,89,2011-05-20
train,90,2011-05-23
train,91,2011-05-24
train,92,2011-05-25
train,93,2011-05-26
train,94,2011-05-27
train,95,2011-05-31
train,96,2011-06-01
train,97,2011-06-02
train,98,2011-06-03
train,99,2011-06-06
train,100,2011-06-07
train,101,2011-06-08
train,102,2011-06-09
train,103,2011-06-10
train,104,2011-06-13
train,105,2011-06-14
train,106,2011-06-15
train,107,2011-06-16
train,108,2011-06-17
train,109,2011-06-20
train,110,2011-06-21
train,111,2011-06-22
train,112,2011-06-23
train,113,2011-06-24
train,114,2011-06-27
train,115,2011-06-28
train,116,2011-06-29
train,117,2011-06-30
train,118,2011-07-01
train,119,2011-07-05
train,120,2011-07-06
train,121,2011-07-07
train,122,2011-07-08
train,123,2011-07-11
train,124,2011-07-12
train,125,2011-07-13
train,126,2011-07-14
train,127,2011-07-15
train,128,2011-07-18
train,129,2011-07-19
train,130,2011-07-20
train,131,2011-07-21
train,132,2011-07-22
train,133,2011-07-25
train,134,2011-07-26
train,135,2011-07-27
train,136,2011-07-28
train,137,2011-07-29
train,138,2011-08-01
train,139,2011-08-02
train,140,2011-08-03
train,141,2011-08-04
train,142,2011-08-05
train,143,2011-08-08
train,144,2011-08-09
train,145,2011-08-10
train,146,2011-08-11
train,147,2011-08-12
train,148,2011-08-15
train,149,2011-08-16
train,150,2011-08-17
train,151,2011-08-18
train,152,2011-08-19
train,153,2011-08-22
train,154,2011-08-23
train,155,2011-08-24
train,156,2011-08-25
train,157,2011-08-26
train,158,2011-08-29
train,159,2011-08-30
train,160,2011-08-31
train,161,2011-09-01
train,162,2011-09-02
train,163,2011-09-06
train,164,2011-09-07
train,165,2011-09-08
train,166,2011-09-09
train,167,2011-09-12
train,168,2011-09-13
train,169,2011-09-14
train,170,2011-09-15
train,171,2011-09-16
train,172,2011-09-19
train,173,2011-09-20
train,174,2011-09-21
train,175,2011-09-22
train,176,2011-09-23
train,177,2011-09-26
train,178,2011-09-27
train,179,2011-09-28
train,180,2011-09-29
train,181,2011-09-30
train,182,2011-10-03
train,183,2011-10-04
train,184,2011-10-05
train,185,2011-10-06
train,186,2011-10-07
train,187,2011-10-10
train,188,2011-10-11
train,189,2011-10-12
train,190,2011-10-13
train,191,2011-10-14
train,192,2011-10-17
train,193,2011-10-18
train,194,2011-10-19
train,195,2011-10-20
train,196,2011-10-21
train,197,2011-10-24
train,198,2011-10-25
train,199,2011-10-26
train,200,2011-10-27
train,201,2011-10-28
train,202,2011-10-31
train,203,2011-11-01
train,204,2011-11-02
train,205,2011-11-03
train,206,2011-11-04
train,207,2011-11-07
train,208,2011-11-08
train,209,2011-11-09
train,210,2011-11-10
train,211,2011-11-11
train,212,2011-11-14
train,213,2011-11-15
train,214,2011-11-16
train,215,2011-11-17
train,216,2011-11-18
train,217,2011-11-21
train,218,2011-11-22
train,219,2011-11-23
train,220,2011-11-25
train,221,2011-11-28
train,222,2011-11-29
train,223,2011-11-30
train,224,2011-12-01
train,225,2011-12-02
train,226,2011-12-05
train,227,2011-12-06
train,228,2011-12-07
train,229,2011-12-08
train,230,2011-12-09
train,231,2011-12-12
train,232,2011-12-13
train,233,2011-12-14
train,234,2011-12-15
train,235,2011-12-16
train,236,2011-12-19
train,237,2011-12-20
train,238,2011-12-21
train,239,2011-12-22
train,240,2011-12-23
train,241,2011-12-27
train,242,2011-12-28
train,243,2011-12-29
train,244,2011-12-30
train,245,2012-01-03
train,246,2012-01-04
train,247,2012-01-05
train,248,2012-01-06
train,249,2012-01-09
train,250,2012-01-10
train,251,2012-01-11
train,252,2012-01-12
train,253,2012-01-13
train,254,2012-01-17
train,255,2012-01-18
train,256,2012-01-19
train,257,2012-01-20
train,258,2012-01-23
train,259,2012-01-24
train,260,2012-01-25
train,261,2012-01-26
train,262,2012-01-27
train,263,2012-01-30
train,264,2012-01-31
train,265,2012-02-01
train,266,2012-02-02
train,267,2012-02-03
train,268,2012-02-06
train,269,2012-02-07
train,270,2012-02-08
train,271,2012-02-09
train,272,2012-02-10
