number,value,datetime_start,datetime_complete,duration,params_d_model,params_dropout,params_ff_mult,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
0,,2026-06-24 01:37:11.447336,2026-06-24 01:37:14.163641,0 days 00:00:02.716305,256,0.15000000000000002,4,0.0004588788837697765,4,7,2.607713480492382e-07,PRUNED
1,,2026-06-24 01:37:14.164680,2026-06-24 01:37:15.497280,0 days 00:00:01.332600,512,0.15000000000000002,2,0.00028952986460373573,4,10,2.0827840867054533e-07,PRUNED
2,,2026-06-24 01:37:15.498355,2026-06-24 01:37:17.373575,0 days 00:00:01.875220,1024,0.2,2,0.00010666128301300287,8,3,2.2964236986032917e-07,PRUNED
3,,2026-06-24 01:37:17.374538,2026-06-24 01:37:18.056410,0 days 00:00:00.681872,256,0.1,4,0.0001476496432361622,4,10,1.866933094506397e-07,PRUNED
4,,2026-06-24 01:37:18.057285,2026-06-24 01:37:20.773572,0 days 00:00:02.716287,1024,0.2,2,0.00015227664257516082,16,6,4.438167156217708e-07,PRUNED
5,,2026-06-24 01:37:20.774532,2026-06-24 01:37:21.182724,0 days 00:00:00.408192,128,0.15000000000000002,4,0.00011347460974478336,4,5,2.8029509889949816e-07,PRUNED
6,,2026-06-24 01:37:21.183685,2026-06-24 01:37:21.774644,0 days 00:00:00.590959,256,0.1,2,0.0001342406096425356,16,3,5.627644861728136e-07,PRUNED
7,,2026-06-24 01:37:21.775618,2026-06-24 01:37:24.324388,0 days 00:00:02.548770,1024,0.2,2,0.00024220885554703534,8,8,5.737843516198623e-07,PRUNED
8,,2026-06-24 01:37:24.325307,2026-06-24 01:37:25.272189,0 days 00:00:00.946882,512,0.15000000000000002,4,0.0003053217227747318,4,3,7.060939826328992e-07,PRUNED
9,,2026-06-24 01:37:25.273145,2026-06-24 01:37:26.466569,0 days 00:00:01.193424,1024,0.2,4,0.0003196169842320856,4,2,5.35453528603513e-07,PRUNED
10,,2026-06-24 01:37:26.467479,2026-06-24 01:37:27.390042,0 days 00:00:00.922563,256,0.1,4,0.0004983917261856052,8,12,1.2730759019095483e-07,PRUNED
11,,2026-06-24 01:37:27.390984,2026-06-24 01:37:28.480983,0 days 00:00:01.089999,512,0.15000000000000002,2,0.0004938204171857634,4,8,1.514047726978291e-07,PRUNED
12,,2026-06-24 01:37:28.481920,2026-06-24 01:37:29.824239,0 days 00:00:01.342319,512,0.15000000000000002,2,0.00037156546044058683,4,10,3.5118177583020106e-07,PRUNED
13,,2026-06-24 01:37:29.825187,2026-06-24 01:37:30.333513,0 days 00:00:00.508326,128,0.15000000000000002,4,0.00020968608312291662,4,10,1.0799780167021954e-07,PRUNED
14,,2026-06-24 01:37:30.334543,2026-06-24 01:37:32.010628,0 days 00:00:01.676085,512,0.15000000000000002,2,0.0003899130082911839,4,12,2.0450851706997743e-07,PRUNED
15,,2026-06-24 01:37:32.011616,2026-06-24 01:37:32.728062,0 days 00:00:00.716446,256,0.1,4,0.00022105463608136443,16,7,3.184287715785299e-07,PRUNED
16,,2026-06-24 01:37:32.729142,2026-06-24 01:37:34.347126,0 days 00:00:01.617984,512,0.15000000000000002,4,0.00027603114369924807,4,9,1.6641679718796924e-07,PRUNED
17,,2026-06-24 01:37:34.348156,2026-06-24 01:37:34.930432,0 days 00:00:00.582276,256,0.2,2,0.00040132235290857467,4,5,2.5292191715791276e-07,PRUNED
18,,2026-06-24 01:37:34.931380,2026-06-24 01:37:35.665279,0 days 00:00:00.733899,128,0.1,4,0.00019491493750880174,8,11,3.910406349829708e-07,PRUNED
19,,2026-06-24 01:37:35.666229,2026-06-24 01:37:36.332448,0 days 00:00:00.666219,256,0.15000000000000002,2,0.000342676954986655,16,7,1.395273550531675e-07,PRUNED
20,,2026-06-24 01:37:36.333515,2026-06-24 01:37:37.773850,0 days 00:00:01.440335,512,0.15000000000000002,4,0.0004332012990131099,4,8,9.61176952978325e-07,PRUNED
21,,2026-06-24 01:37:37.774777,2026-06-24 01:37:39.331659,0 days 00:00:01.556882,1024,0.2,2,0.00018134749721051953,8,4,2.3119378063213025e-07,PRUNED
22,,2026-06-24 01:37:39.332537,2026-06-24 01:37:41.886923,0 days 00:00:02.554386,1024,0.2,2,0.00010100542673823818,8,6,2.1523752115674124e-07,PRUNED
23,,2026-06-24 01:37:41.887898,2026-06-24 01:37:45.515428,0 days 00:00:03.627530,1024,0.15000000000000002,2,0.0002623706252132937,8,9,2.8237237760018526e-07,PRUNED
24,0.25639501959085464,2026-06-24 01:37:45.516352,2026-06-24 01:44:24.795434,0 days 00:06:39.279082,256,0.2,2,0.0001794288723403524,8,2,1.8459818044677252e-07,COMPLETE
25,0.2351285070180893,2026-06-24 01:44:24.797940,2026-06-24 01:51:12.420143,0 days 00:06:47.622203,256,0.15000000000000002,2,0.00017194234793993998,8,2,1.828117130661226e-07,COMPLETE
26,0.22271569818258286,2026-06-24 01:51:12.422350,2026-06-24 01:58:20.124023,0 days 00:07:07.701673,256,0.15000000000000002,2,0.00015863357520638766,8,2,1.0007399348079178e-07,COMPLETE
27,0.24498119577765465,2026-06-24 01:58:20.128072,2026-06-24 02:05:10.746345,0 days 00:06:50.618273,256,0.2,2,0.00017009919743157825,8,2,1.0408036995805431e-07,COMPLETE
28,0.23318172246217728,2026-06-24 02:05:10.748583,2026-06-24 02:11:48.458343,0 days 00:06:37.709760,256,0.2,2,0.00015767287437988518,8,2,1.121016276732938e-07,COMPLETE
29,,2026-06-24 02:11:48.460294,2026-06-24 02:11:49.432477,0 days 00:00:00.972183,256,0.15000000000000002,2,0.00012843896505541737,8,4,1.2211651102546362e-07,PRUNED
30,,2026-06-24 02:11:49.433924,2026-06-24 02:11:50.021284,0 days 00:00:00.587360,256,0.15000000000000002,2,0.00012285969579220785,8,4,1.2357372250559083e-07,PRUNED
31,0.236507348716259,2026-06-24 02:11:50.023000,2026-06-24 02:18:40.383418,0 days 00:06:50.360418,256,0.2,2,0.0001638264862128525,8,2,1.0020859685966213e-07,COMPLETE
32,0.24428176507353783,2026-06-24 02:18:40.385181,2026-06-24 02:25:28.717922,0 days 00:06:48.332741,256,0.2,2,0.00015417889709779122,8,2,1.04357062680808e-07,COMPLETE
33,,2026-06-24 02:25:28.719627,2026-06-24 02:25:30.281426,0 days 00:00:01.561799,256,0.2,2,0.0001664838445600793,8,3,1.5491660553408864e-07,PRUNED
