ticker,real_mean,gen_mean,real_std,gen_std,real_skew,gen_skew,real_kurt,gen_kurt,wasserstein,ks_stat,ks_pvalue,kurt_gap,skew_gap
AAPL,0.0006387089,0.00086261274,0.016018191,0.016256098,-0.3347955,-0.059934784,4.852032,6.818741,0.0004820179733267681,0.016103960396039563,0.6712043887426891,1.9667087,0.2748607
ABT,0.0006135943,0.000683628,0.011886017,0.011768428,-0.70322925,-0.07238737,5.7309046,6.2954807,0.00039895670135638574,0.015910891089108925,0.6857325635493565,0.56457615,0.63084185
ACN,0.0006064293,0.00052793085,0.01370188,0.012835484,-0.6704373,-0.37413678,7.5507345,8.312314,0.0005359443313951782,0.012678217821782245,0.9005914864834307,0.7615795,0.2963005
ADBE,0.0009832885,0.0007142239,0.016931402,0.016098626,0.11137826,-0.13817154,5.79045,6.327879,0.0006569745012751235,0.02199009900990101,0.2840366635392857,0.53742886,0.2495498
AIG,-2.1731219e-05,-0.00023301678,0.017125186,0.01695379,-0.2930149,-0.39730245,5.081979,12.405027,0.0007244388250707075,0.023663366336633684,0.20937503533243584,7.3230486,0.104287535
ALL,0.000536597,0.00034295893,0.012069661,0.0111223,-0.41618922,-0.22910847,7.9042892,5.542283,0.00048799828263567784,0.019346534653465364,0.4370611416271073,2.3620062,0.18708076
AMGN,0.00065080123,0.0006193586,0.014700794,0.01426364,-0.11559359,-0.060923122,3.2395363,6.007905,0.0006784096277319598,0.019400990099009863,0.43349024533946123,2.7683687,0.054670468
AMZN,0.0010122109,0.0009707971,0.019730473,0.018629568,0.14009376,0.16582072,8.180728,10.128784,0.0008534351617831666,0.03400990099009904,0.019122261234633425,1.9480562,0.02572696
AXP,0.0003851453,0.00012036885,0.013761478,0.013480049,-0.5899159,-0.37721175,7.88264,7.778158,0.00047038332089330346,0.020356435643564347,0.3735922102466587,0.1044817,0.21270412
BA,0.00084834464,0.00072051166,0.014762231,0.014541064,-0.32302198,-0.20038903,3.8379698,6.600854,0.0005217305701119222,0.020193069306930655,0.38345331326362875,2.7628841,0.12263295
BAC,0.00034029697,-0.00031036013,0.020781359,0.019462878,-0.49976867,-0.12612672,11.224396,5.9930525,0.0008795514851755254,0.028094059405940564,0.08349522784555363,5.2313433,0.37364197
BIIB,0.00071470824,0.0005689048,0.020654406,0.019439364,-0.29247117,0.20506929,17.409546,11.533497,0.0008226864882505023,0.016044554455445503,0.6756787919126952,5.876049,0.49754047
BK,0.00028398284,5.270685e-05,0.015388762,0.015374622,-0.42937353,-0.14955679,3.8191967,5.3825436,0.0005597745322814455,0.02670297029702967,0.11336204575502251,1.5633469,0.27981675
BKNG,0.00069116754,0.0006558697,0.018133434,0.016971307,-0.8299652,0.098503746,12.031277,8.17451,0.000629393929659243,0.017222772277227794,0.5870980101752071,3.8567667,0.92846894
BLK,0.0004427158,8.15019e-05,0.015704678,0.015528216,-0.25687024,-0.27861935,4.112914,6.797039,0.0005745993083484694,0.022202970297029778,0.27359189070133005,2.684125,0.021749109
BMY,0.00042446275,0.0005648398,0.014756307,0.013478751,-1.4343538,-0.27752802,15.998035,9.646611,0.0007931299683248347,0.02203960396039603,0.28158254116376547,6.351424,1.1568258
C,5.0167546e-05,-0.00042776018,0.019397983,0.018272638,-0.521133,-0.14504457,7.483262,5.2955065,0.0009489605669413563,0.02774257425742571,0.0903351031485119,2.1877556,0.37608844
