epoch,train_loss,val_loss,lr,grad_norm_mean,grad_norm_max
1,0.937700,0.844916,0.00003625,4.4102,6.5312
2,0.591616,0.446367,0.00005256,6.2699,7.6443
3,0.291780,0.412061,0.00006887,1.4968,3.3199
4,0.234957,0.336542,0.00008518,0.6210,1.2027
5,0.230672,0.318568,0.00010149,0.4421,0.7248
6,0.211884,0.300879,0.00011780,0.3127,0.4865
7,0.207901,0.343640,0.00013411,0.2671,0.4426
8,0.202494,0.293109,0.00015042,0.2934,0.4845
9,0.202922,0.267813,0.00016674,0.3049,0.5254
10,0.209579,0.247943,0.00018305,0.3359,0.5245
11,0.185787,0.290150,0.00019936,0.3464,0.5719
12,0.188042,0.293253,0.00021567,0.2573,0.4176
13,0.179832,0.273407,0.00023198,0.3287,0.5248
14,0.192808,0.242736,0.00024829,0.3094,0.4816
15,0.183981,0.277163,0.00026460,0.2727,0.4372
16,0.177572,0.270542,0.00028091,0.3961,0.6449
17,0.177033,0.255849,0.00029722,0.3962,0.6235
18,0.185708,0.278261,0.00031354,0.3166,0.5349
19,0.182126,0.223366,0.00032985,0.2885,0.4225
20,0.179436,0.279160,0.00034616,0.3155,0.6175
21,0.176578,0.266286,0.00036247,0.3390,0.6561
22,0.179228,0.226662,0.00036244,0.2121,0.2915
23,0.168352,0.268365,0.00036236,0.2478,0.3415
24,0.176133,0.300770,0.00036222,0.2897,0.3796
25,0.173657,0.228678,0.00036203,0.2204,0.3384
26,0.162668,0.265332,0.00036178,0.2789,0.4859
27,0.174665,0.252927,0.00036148,0.2446,0.3942
28,0.173862,0.219130,0.00036112,0.2340,0.3413
29,0.170151,0.217387,0.00036071,0.2693,0.3899
30,0.169726,0.284704,0.00036024,0.2669,0.4483
31,0.162323,0.274493,0.00035972,0.2211,0.3210
32,0.163114,0.273320,0.00035915,0.2217,0.3426
33,0.177381,0.244129,0.00035852,0.2161,0.4519
34,0.168069,0.256275,0.00035784,0.2354,0.3648
35,0.154887,0.218923,0.00035710,0.1978,0.2778
36,0.168104,0.259217,0.00035631,0.2330,0.3913
37,0.162535,0.265990,0.00035547,0.2019,0.3070
38,0.166816,0.246954,0.00035457,0.2077,0.3220
39,0.167691,0.229947,0.00035362,0.2286,0.3652
40,0.155228,0.236590,0.00035262,0.1756,0.2641
41,0.165830,0.256488,0.00035157,0.2114,0.3243
42,0.162623,0.226890,0.00035046,0.2011,0.3226
43,0.160919,0.232539,0.00034931,0.1870,0.2953
44,0.158049,0.237104,0.00034810,0.2347,0.4525
45,0.150037,0.248926,0.00034684,0.2363,0.4545
46,0.169484,0.240623,0.00034554,0.1790,0.4067
47,0.154940,0.233666,0.00034418,0.1830,0.2702
48,0.149647,0.233358,0.00034277,0.1343,0.2407
49,0.152060,0.264724,0.00034131,0.1708,0.2590
50,0.161834,0.225022,0.00033981,0.1705,0.2839
51,0.160123,0.236036,0.00033825,0.1748,0.2686
52,0.163839,0.232701,0.00033665,0.2571,0.4945
53,0.160769,0.259553,0.00033501,0.1927,0.2959
54,0.158572,0.214166,0.00033331,0.1998,0.3197
55,0.151494,0.214320,0.00033157,0.1794,0.3145
56,0.163386,0.258921,0.00032978,0.1711,0.2868
57,0.162632,0.264488,0.00032795,0.1247,0.1994
58,0.156467,0.242156,0.00032608,0.2317,0.4436
59,0.154001,0.263462,0.00032415,0.2022,0.3112
60,0.152047,0.221604,0.00032219,0.1672,0.2993
61,0.173104,0.212299,0.00032018,0.1946,0.3921
62,0.157817,0.257232,0.00031814,0.1768,0.3052
63,0.166674,0.231671,0.00031605,0.1568,0.2236
